# The Federal Reserve Bank of New York's published ACM (Adrian-Crump-Moench) 10-year
# decomposition: fitted yield (ACMY10), risk-neutral yield (ACMRNY10), and term premium
# (ACMTP10), annualized percent, quarterly (end-of-quarter), 1961-Q2 to 2014-Q1.
# Source: Adrian, T., Crump, R. K., & Moench, E. (2013), "Pricing the Term Structure with
# Linear Regressions", Journal of Financial Economics 110(1), 110-138; series published at
# https://www.newyorkfed.org/research/data_indicators/term-premia-tabs (public data,
# redistributed with attribution). Vendored via the Brookings Institution mirror
# https://github.com/BrookingsInstitution/Treasury-Issuance-Model (data/ACM.csv, a 2021
# vintage of the published series). Retrieved 2026-08-19.
# Used as a LEVEL/SHAPE comparison target only (vintage + estimation-sample + data-input
# caveats), never as a bit-exact golden: the published series is re-estimated on the full
# 1961-present sample with the NY Fed's own curve inputs (FFR-spliced short rate).
DATE,ACMY10,ACMRNY10,ACMTP10
1969-06-30,6.574034593590475,5.795827582426036,0.7782070111644384
1969-09-30,7.314433038322696,6.531675502856122,0.7827575354665743
1969-12-31,7.071432462706075,6.959648843178923,0.1117836195271522
1970-03-31,6.97122801901952,5.857172768116335,1.114055250903185
1970-06-30,7.554430995838199,6.068131129021933,1.4862998668162666
1970-09-30,7.238383532438628,5.580037816757414,1.6583457156812145
1970-12-31,6.224470381767409,4.7328373205966425,1.4916330611707664
1971-03-31,5.783870758031893,3.794979205110116,1.9888915529217768
1971-06-30,6.884495267401271,5.274633045677592,1.609862221723679
1971-09-30,6.107950348987001,4.792137949122822,1.3158123998641784
1971-12-31,5.974526871374351,4.256916255722157,1.7176106156521938
1972-03-31,6.190715650043123,4.722913161592386,1.4678024884507377
1972-06-30,6.130248494414461,4.760401299165068,1.3698471952493936
1972-09-30,6.34768908446492,4.968579832172049,1.3791092522928716
1972-12-31,6.282291271927197,5.065466516620178,1.2168247553070186
1973-03-31,6.593264937277136,5.731176920399728,0.8620880168774088
1973-06-30,6.661653969929137,5.986067975573903,0.6755859943552345
1973-09-30,6.766472401514966,5.6324041571279535,1.134068244387013
1973-12-31,6.740787921063208,5.831014675666948,0.90977324539626
1974-03-31,7.337309943048025,6.483072602734661,0.8542373403133636
1974-06-30,7.724202570233321,6.716463955694772,1.0077386145385487
1974-09-30,7.831336763473811,6.390825644579185,1.4405111188946256
1974-12-31,7.173045892800207,5.916958813749454,1.2560870790507537
1975-03-31,7.443541790254581,5.568209586272484,1.8753322039820968
1975-06-30,7.628101734442156,5.850086400867835,1.778015333574321
1975-09-30,8.156857898177817,6.321051476172774,1.8358064220050432
1975-12-31,7.653978789494685,5.468669535271342,2.185309254223343
1976-03-31,7.522368342872841,5.40197070673009,2.1203976361427515
1976-06-30,7.665086780567744,5.59752123971204,2.0675655408557043
1976-09-30,7.473315879617055,5.152068870708611,2.3212470089084443
1976-12-31,6.74396689559314,4.594022387960385,2.149944507632754
1977-03-31,7.344374276684462,5.008302500703558,2.336071775980904
1977-06-30,7.18810550034344,4.955346557790581,2.2327589425528584
1977-09-30,7.276203113901983,5.52392710227732,1.7522760116246632
1977-12-31,7.693287958777841,5.786897596484604,1.9063903622932368
1978-03-31,7.959764411932682,6.062465971294508,1.8972984406381728
1978-06-30,8.397514713189421,6.536559971068385,1.860954742121036
1978-09-30,8.257603070245594,6.762190478197132,1.4954125920484618
1978-12-31,8.822342943849375,7.551251797317111,1.2710911465322638
1979-03-31,8.802238717043478,7.3296407784929185,1.4725979385505594
1979-06-30,8.467629420611937,7.002913990696329,1.464715429915608
1979-09-30,9.085615426076048,7.781997708995065,1.303617717080983
1979-12-31,9.967392057796546,8.093578411868897,1.873813645927649
1980-03-31,11.89163543806739,9.79519634870798,2.096439089359409
1980-06-30,9.748100925064833,6.712808781204898,3.0352921438599347
1980-09-30,11.489231147933465,8.50553311077047,2.983698037162993
1980-12-31,11.815948903786202,9.641796015133352,2.1741528886528485
1981-03-31,12.86207597031245,9.316002443851042,3.546073526461408
1981-06-30,13.06272816924188,10.207476086362814,2.8552520828790677
1981-09-30,14.91097699243241,11.036184191949513,3.874792800482899
1981-12-31,13.554603348597366,9.575279837555,3.979323511042367
1982-03-31,13.392532095289216,10.228539813232288,3.1639922820569275
1982-06-30,13.606482868471732,10.2453983651262,3.3610845033455323
1982-09-30,11.65310714696552,7.946526373573519,3.706580773392
1982-12-31,10.511855384840874,7.317952047664916,3.193903337175959
1983-03-31,10.62806441572132,7.3926820206796915,3.2353823950416274
1983-06-30,10.926041496921837,7.649637296842129,3.276404200079708
1983-09-30,11.365114285264536,7.733587184931463,3.6315271003330727
1983-12-31,11.660129663840744,7.901197038537641,3.7589326253031023
1984-03-31,12.273825290120817,8.389936458857445,3.883888831263372
1984-06-30,13.493484555597774,9.050478422666508,4.443006132931266
1984-09-30,12.100532250004749,8.732791990746271,3.3677402592584773
1984-12-31,11.493277160238234,7.464980623465453,4.028296536772781
1985-03-31,11.611872869624271,7.638680814117631,3.97319205550664
1985-06-30,10.358745303601976,6.675665944041495,3.68307935956048
